Ring Structure,name,smiles,MW,Priority,SMARTs
NAPHTHALENERING,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:c:2:[c;!R2;r6]:1
ANTHRACENE,anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1,178,0,[cH1]1:[cH1]:[cH1]:c2:[cH1]:c3:[cH1]:[cH1]:[cH1]:[cH1]:c:3:[cH1]:c:2:[cH1]:1
ANTHRACENERING,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:[c;!R2;r6]:c3:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:c:3:[c;!R2;r6]:c:2:[c;!R2;r6]:1
CYLCOHEXANE,cyclohexane,C1CCCCC1,84,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1
CYLCOHEXANERING,,,,1,[C;!R2;r6]1-[C;!R2;r6]-[C;!R2;r6]-[C;!R2;r6]-[C;!R2;r6]-[C;!R2;r6]-1
CYCLOPENTANE,cyclopentane,C1CCCC1,70,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-1
CYCLOPENTANERING,,,,1,[C;!R2;r5]1-[C;!R2;r5]-[C;!R2;r5]-[C;!R2;r5]-[C;!R2;r5]-1
CYCLOBUTANE,cyclobutane,C1CCC1,56,0,[CH2]1-[CH2]-[CH2]-[CH2]-1
CYCLOBUTANERING,,,,1,[C;!R2;r4]1-[C;!R2;r4]-[C;!R2;r4]-[C;!R2;r4]-1
CYCLOPROPANE,cyclopropane,C1CC1,42,0,[CH2]1-[CH2]-[CH2]-1
CYCLOPROPANERING,,,,1,[C;!R2;r3]1-[C;!R2;r3]-[C;!R2;r3]-1
CYCLOHEPTANE,cycloheptane,C1CCCCCC1,98,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1
CYLCOHEPTANERING,,,,1,[C;!R2;r7]1-[C;!R2;r7]-[C;!R2;r7]-[C;!R2;r7]-[C;!R2;r7]-[C;!R2;r7]-[C;!R2;r7]-1
CYCLOOCTANE,cyclooctane,C1CCCCCCC1,112,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1
CYCLOOCTANERING,,,,1,[C;!R2;r8]1-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-1
