index,Ring Structure,中文名称,name,smiles,分子量,priority,SMARTs
215,BENZOFURANs3s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH0]:[cH1]:o:2
216,BENZOFURANs4s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH1]:[cH1]:o:2
217,BENZOFURANs2s3s4s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:o:2
218,BENZOFURANs2s3s4s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:o:2
219,BENZOFURANs2s3s4s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:o:2
220,BENZOFURANs2s3s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:o:2
221,BENZOFURANs2s4s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH1]:[cH0;!R2]:o:2
222,BENZOFURANs3s4s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH0]:[cH1]:o:2
223,BENZOFURANs2s3s4s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:o:2
224,CARBAZOLE,咔唑,carbazole,C1=CC=C2C(=C1)C3=CC=CC=C3N2,167,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH1]:c:3:[nH1]:2
225,CARBAZOLEs1,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH1]:2
226,CARBAZOLEs2,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH0]:[cH1]:c:3:[nH1]:2
227,CARBAZOLEs3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0]:[cH1]:[cH1]:c:3:[nH1]:2
228,CARBAZOLEs4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH0]:[cH1]:[cH1]:[cH1]:c:3:[nH1]:2
229,CARBAZOLEs9,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH1]:c:3:[nH0]:2
230,CARBAZOLEs9s1,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH0]:2
231,CARBAZOLEs9s2,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH0]:[cH1]:c:3:[nH0]:2
232,CARBAZOLEs9s3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0]:[cH1]:[cH1]:c:3:[nH0]:2
233,CARBAZOLEs9s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH0]:[cH1]:[cH1]:[cH1]:c:3:[nH0]:2
234,CARBAZOLEs1s2,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH0;!R2]:[cH0;!R2]:c:3:[nH1]:2
235,CARBAZOLEs1s3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0]:[cH1]:[cH0]:c:3:[nH1]:2
236,CARBAZOLEs1s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH0]:[cH1]:[cH1]:[cH0]:c:3:[nH1]:2
237,CARBAZOLEs1s5,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH1]:2
238,CARBAZOLEs1s6,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH1]:2
239,CARBAZOLEs1s7,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH1]:2
240,CARBAZOLEs1s8,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH1]:2
241,CARBAZOLEs2s3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0;!R2]:[cH0;!R2]:[cH1]:c:3:[nH1]:2
242,CARBAZOLEs2s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH0]:[cH1]:[cH0]:[cH1]:c:3:[nH1]:2
243,CARBAZOLEs2s5,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):c3:[cH1]:[cH1]:[cH0]:[cH1]:c:3:[nH1]:2
244,CARBAZOLEs2s6,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH0]:[cH1]:c:3:[nH1]:2
245,CARBAZOLEs2s7,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH0]:[cH1]:c:3:[nH1]:2
246,CARBAZOLEs3s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH0;!R2]:[cH0;!R2]:[cH1]:[cH1]:c:3:[nH1]:2
247,CARBAZOLEs3s5,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):c3:[cH1]:[cH0]:[cH1]:[cH1]:c:3:[nH1]:2
248,CARBAZOLEs3s6,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0]:[cH1]:[cH1]:c:3:[nH1]:2
249,CARBAZOLEs4s5,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):c3:[cH0]:[cH1]:[cH1]:[cH1]:c:3:[nH1]:2
250,CARBAZOLEs9s1s2,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH0;!R2]:[cH0;!R2]:c:3:[nH0]:2
251,CARBAZOLEs9s1s3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0]:[cH1]:[cH0]:c:3:[nH0]:2
252,CARBAZOLEs9s1s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0]:[cH1]:[cH0]:c:3:[nH0]:2
253,CARBAZOLEs9s1s5,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH0]:2
254,CARBAZOLEs9s1s6,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH0]:2
255,CARBAZOLEs9s1s7,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH0]:2
256,CARBAZOLEs9s1s8,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH1]:[cH0]:c:3:[nH0]:2
257,CARBAZOLEs9s2s3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0;!R2]:[cH0;!R2]:[cH1]:c:3:[nH0]:2
258,CARBAZOLEs9s2s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH0]:[cH1]:[cH0]:[cH1]:c:3:[nH0]:2
259,CARBAZOLEs9s2s5,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):c3:[cH1]:[cH1]:[cH0]:[cH1]:c:3:[nH0]:2
260,CARBAZOLEs9s2s6,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH0]:[cH1]:c:3:[nH0]:2
261,CARBAZOLEs9s2s7,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH1]:[cH0]:[cH1]:c:3:[nH0]:2
262,CARBAZOLEs9s3s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH0;!R2]:[cH0;!R2]:[cH1]:[cH1]:c:3:[nH0]:2
263,CARBAZOLEs9s3s5,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):c3:[cH1]:[cH0]:[cH1]:[cH1]:c:3:[nH0]:2
264,CARBAZOLEs9s3s6,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0]:[cH1]:[cH1]:c:3:[nH0]:2
265,CARBAZOLEs9s4s5,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):c3:[cH0]:[cH1]:[cH1]:[cH1]:c:3:[nH0]:2
266,CARBAZOLEs1s2s3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):c3:[cH1]:[cH0;!R2]:[cH0;!R2]:[cH0;!R2]:c:3:[nH1]:2
267,THIANAPHETHENE,苯并噻吩,thianaphthene,C1=CC=C2C(=C1)C=CS2,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:s:2
268,THIANAPHETHENEs2,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH0]:s:2
269,THIANAPHETHENEs3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH0]:[cH1]:s:2
270,THIANAPHETHENEs4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):[cH1]:[cH1]:s:2
271,THIANAPHETHENEs5,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:s:2
272,THIANAPHETHENEs6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:s:2
273,THIANAPHETHENEs7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH1]:[cH1]:s:2
274,THIANAPHETHENEs2s3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:s:2
275,THIANAPHETHENEs2s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):[cH1]:[cH0]:s:2
276,THIANAPHETHENEs2s5,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH0]:s:2
277,THIANAPHETHENEs2s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH0]:s:2
278,THIANAPHETHENEs2s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH1]:[cH0]:s:2
279,THIANAPHETHENEs3s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):[cH0]:[cH1]:s:2
280,THIANAPHETHENEs3s5,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH0]:[cH1]:s:2
281,THIANAPHETHENEs3s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):[cH0]:[cH1]:s:2
282,THIANAPHETHENEs3s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH0]:[cH1]:s:2
283,THIANAPHETHENEs4s5,,,,,0,[cH0;!R2]1:[cH1]:[cH1]:c2:c(:[cH0;!R2]:1):[cH1]:[cH1]:s:2
284,THIANAPHETHENEs4s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH0]:1):[cH1]:[cH1]:s:2
285,THIANAPHETHENEs4s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH0]:1):[cH1]:[cH1]:s:2
286,THIANAPHETHENEs5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:s:2
287,THIANAPHETHENEs5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH1]:[cH1]:s:2
288,THIANAPHETHENEs6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH1]:[cH1]:s:2
289,THIANAPHETHENEs2s3s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):[cH0;!R2]:[cH0;!R2]:s:2
290,THIANAPHETHENEs2s3s5,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:s:2
291,THIANAPHETHENEs2s3s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:s:2
292,THIANAPHETHENEs2s3s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:s:2
293,THIANAPHETHENEs2s4s5,,,,,0,[cH0;!R2]1:[cH1]:[cH1]:c2:c(:[cH0;!R2]:1):[cH1]:[cH0]:s:2
294,THIANAPHETHENEs2s4s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH0]:1):[cH1]:[cH0]:s:2
295,THIANAPHETHENEs2s4s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH0]:1):[cH1]:[cH0]:s:2
296,THIANAPHETHENEs2s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH0]:s:2
297,THIANAPHETHENEs2s5s7,,,,,0,[cH0]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH1]:[cH0]:s:2
298,THIANAPHETHENEs2s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH1]:[cH0]:s:2
299,THIANAPHETHENEs3s4s5,,,,,0,[cH0;!R2]1:[cH1]:[cH1]:c2:c(:[cH0;!R2]:1):[cH0]:[cH1]:s:2
300,THIANAPHETHENEs3s4s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH0]:1):[cH0]:[cH1]:s:2
301,THIANAPHETHENEs3s4s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH0]:1):[cH0]:[cH1]:s:2
302,THIANAPHETHENEs3s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH1]:1):[cH0]:[cH1]:s:2
303,THIANAPHETHENEs3s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH0]:[cH1]:s:2
304,THIANAPHETHENEs3s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH0]:[cH1]:s:2
305,THIANAPHETHENEs4s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH0;!R2]:1):[cH1]:[cH1]:s:2
306,THIANAPHETHENEs4s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH1]:[cH1]:s:2
307,THIANAPHETHENEs4s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0]:1):[cH1]:[cH1]:s:2
308,THIANAPHETHENEs5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH1]:[cH1]:s:2
309,THIANAPHETHENEs2s3s4s5,,,,,0,[cH0;!R2]1:[cH1]:[cH1]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:s:2
310,THIANAPHETHENEs2s3s4s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH0]:1):[cH0;!R2]:[cH0;!R2]:s:2
311,THIANAPHETHENEs2s3s4s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH0]:1):[cH0;!R2]:[cH0;!R2]:s:2
312,THIANAPHETHENEs2s3s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:s:2
313,THIANAPHETHENEs2s3s5s7,,,,,0,[cH0]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:s:2
314,THIANAPHETHENEs2s3s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:s:2
315,THIANAPHETHENEs2s4s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH0;!R2]:1):[cH1]:[cH0]:s:2
316,THIANAPHETHENEs2s4s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH0;!R2]:1):[cH1]:[cH0]:s:2
317,THIANAPHETHENEs2s4s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0]:1):[cH1]:[cH0]:s:2
318,THIANAPHETHENEs2s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH1]:[cH0]:s:2
319,THIANAPHETHENEs3s4s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH0;!R2]:1):[cH0]:[cH1]:s:2
320,THIANAPHETHENEs3s4s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH0;!R2]:1):[cH0]:[cH1]:s:2
321,THIANAPHETHENEs3s4s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0]:1):[cH0]:[cH1]:s:2
322,THIANAPHETHENEs3s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH0]:[cH1]:s:2
323,THIANAPHETHENEs4s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH1]:[cH1]:s:2
324,THIANAPHETHENEs2s3s4s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:s:2
325,THIANAPHETHENEs2s3s4s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:s:2
326,THIANAPHETHENEs2s3s4s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:s:2
327,THIANAPHETHENEs2s3s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:s:2
328,THIANAPHETHENEs2s4s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH1]:[cH0;!R2]:s:2
329,THIANAPHETHENEs3s4s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH0]:[cH1]:s:2
330,THIANAPHETHENEs2s3s4s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:s:2
331,BENZIMIDAZOLE,苯并咪唑,benzimidazole,C1=CC=C2C(=C1)NC=N2,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[nH1]:[cH1]:n:2
332,BENZIMIDAZOLEs1,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[nH0;!R2;r5]:[cH1]:n:2
333,BENZIMIDAZOLEs2,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[nH1]:[cH0]:n:2
334,BENZIMIDAZOLEs4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):[nH1]:[cH1]:n:2
335,BENZIMIDAZOLEs5,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[nH1]:[cH1]:n:2
336,BENZIMIDAZOLEs6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):[nH1]:[cH1]:n:2
337,BENZIMIDAZOLEs7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[nH1]:[cH1]:n:2
338,INDOLE,吲哚,indole,C1=CC=C2C(=C1)C=CN2,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:[nH1]:2
339,QUINOLINE,喹啉,quinoline,C1=CC=C2C(=C1)C=CC=N2,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:[cH1]:n:2
340,ISOQUINOLINE,异喹啉,isoquinoline,C1=CC=C2C=NC=CC2=C1,,0,[cH1]1:[cH1]:[cH1]:c2:[cH1]:n:[cH1]:[cH1]:c:2:[cH1]:1
341,NAPHTHALENE,萘,naphthalene,C1=CC=C2C=CC=CC2=C1,,0,[cH1]1:[cH1]:[cH1]:c2:[cH1]:[cH1]:[cH1]:[cH1]:c:2:[cH1]:1
342,ANTHRACENE,蒽,anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1,,0,[cH1]1:[cH1]:[cH1]:c2:[cH1]:c3:[cH1]:[cH1]:[cH1]:[cH1]:c:3:[cH1]:c:2:[cH1]:1
343,CYLCOHEXANE,环己烷,cyclohexane,C1CCCCC1,,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1
344,CYLCOHEXANEs1,,,,,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH1]-1
345,CYLCOHEXANEs1s1,,,,,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH0]-1
346,CYLCOHEXANEs1s2,,,,,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH1;!R2]-[CH1;!R2]-1
347,CYLCOHEXANEs1s3,,,,,0,[CH2]1-[CH2]-[CH2]-[CH1;!R2]-[CH2]-[CH1;!R2]-1
348,CYLCOHEXANEs1s4,,,,,0,[CH2]1-[CH2]-[CH1;!R2]-[CH2]-[CH2]-[CH1;!R2]-1
349,CYLCOHEXANEs1s1s2,,,,,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH1;!R2]-[CH0;!R2]-1
350,CYLCOHEXANEs1s2s3,,,,,0,[CH2]1-[CH2]-[CH2]-[CH1;!R2]-[CH1;!R2]-[CH1;!R2]-1
351,CYLCOHEXANEs1s2s4,,,,,0,[CH2]1-[CH2]-[CH1;!R2]-[CH2]-[CH1;!R2]-[CH1;!R2]-1
352,CYCLOPENTANE,环戊烷,cyclopentane,C1CCCC1,,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-1
353,CYCLOBUTANE,环丁烷,cyclobutane,C1CCC1,,0,[CH2]1-[CH2]-[CH2]-[CH2]-1
354,CYCLOPROPANE,环丙烷,cyclopropane,C1CC1,,0,[CH2]1-[CH2]-[CH2]-1
355,CYCLOHEPTANE,环庚烷,cycloheptane,C1CCCCCC1,,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1
