index,Ring Structure,中文名称,name,smiles,分子量,priority,SMARTs
43,THIOPHENE,噻吩,Thiophene,C1=CSC=C1,84,0,[cH1]:[cH1]:s:[cH1]:[cH1]
44,THIOPHENEs2,,,,,0,[cH1]:[cH0]:s:[cH1]:[cH1]
45,THIOPHENEs3,,,,,0,[cH0]:[cH1]:s:[cH1]:[cH1]
46,THIOPHENEs2s3,,,,,0,[cH0;!R2;r5]:[cH0;!R2;r5]:s:[cH1]:[cH1]
47,THIOPHENEs2s4,,,,,0,[cH1]:[cH0;!R2;r5]:s:[cH1]:[cH0;!R2;r5]
48,THIOPHENEs3s4,,,,,0,[cH0;!R2;r5]:[cH1]:s:[cH1]:[cH0;!R2;r5]
49,THIOPHENEs2s5,,,,,0,[cH1]:[cH0;!R2;r5]:s:[cH0;!R2;r5]:[cH1]
50,THIOPHENEs2s3s4,,,,,0,[cH0;!R2;r5]:[cH0;!R2;r5]:s:[cH1]:[cH0;!R2;r5]
51,THIOPHENEs2s3s5,,,,,0,[cH0;!R2;r5]:[cH0;!R2;r5]:s:[cH0;!R2;r5]:[cH1]
52,THIOPHENEs2s3s4s5,,,,,0,[cH0;!R2;r5]:[cH0;!R2;r5]:s:[cH0;!R2;r5]:[cH0;!R2;r5]
53,PYRROLE,吡咯,pyrrole,C1=CNC=C1,68,0,[cH1]1:[cH1]:[nH1;R;r5]:[cH1]:[cH1]:1
54,PYRROLEs1,,,,,0,[cH1]:[cH1]:[nH0;R;r5]:[cH1]:[cH1]
55,PYRROLEs2,,,,,0,[cH1]:[cH0]:[nH1;R;r5]:[cH1]:[cH1]
56,PYRROLEs3,,,,,0,[cH0]:[cH1]:[nH1;R;r5]:[cH1]:[cH1]
57,PYRROLEs1s2,,,,,0,[cH1]:[cH0;!R2]:[nH0;!R2;r5]:[cH1]:[cH1]
58,PYRROLEs1s3,,,,,0,[cH0]:[cH1]:[nH0;!R2;r5]:[cH1]:[cH1]
59,PYRROLEs2s3,,,,,0,[cH0;!R2]:[cH0;!R2]:[nH1;R;r5]:[cH1]:[cH1]
60,PYRROLEs2s4,,,,,0,[cH1]:[cH0]:[nH1;R;r5]:[cH1]:[cH0]
61,PYRROLEs2s5,,,,,0,[cH1]:[cH0]:[nH1;R;r5]:[cH0]:[cH1]
62,PYRROLEs3s4,,,,,0,[cH0;!R2]:[cH1]:[nH1;R;r5]:[cH1]:[cH0;!R2]
63,PYRROLEs1s2s3,,,,,0,[cH0;!R2]:[cH0;!R2]:[nH0;!R2;r5]:[cH1]:[cH0;!R2]
64,PYRROLEs1s2s4,,,,,0,[cH0;!R2]:[cH0;!R2]:[nH0;!R2;r5]:[cH0;!R2]:[cH1]
65,PYRROLEs1s2s3s4,,,,,0,[cH0;!R2]:[cH0;!R2]:[nH0;!R2;r5]:[cH0;!R2]:[cH0;!R2]
66,ISOXAZOLE,异噁唑,isoxazole,C1=CON=C1,69,0,o:n:[cH1]:[cH1]:[cH1]
67,ISOXAZOLEs3,,,,,0,o:n:[cH0]:[cH1]:[cH1]
68,ISOXAZOLEs4,,,,,0,o:n:[cH1]:[cH0]:[cH1]
69,ISOXAZOLEs5,,,,,0,o:n:[cH1]:[cH1]:[cH0]
70,ISOXAZOLEs3s4,,,,,0,o:n:[cH0;!R2]:[cH0;!R2]:[cH1]
71,ISOXAZOLEs3s5,,,,,0,o:n:[cH0;!R2]:[cH1]:[cH0;!R2]
72,ISOXAZOLEs4s5,,,,,0,o:n:[cH1]:[cH0;!R2]:[cH0;!R2]
73,ISOXAZOLEs3s4s5,,,,,0,o:n:[cH0;!R2]:[cH0;!R2]:[cH0;!R2]
74,OXAZOLE,噁唑,oxazole,C1=COC=N1,69,0,o:[cH1]:n:[cH1]:[cH1]
75,OXAZOLEs2,,,,,0,o:[cH0]:n:[cH1]:[cH1]
76,OXAZOLEs4,,,,,0,o:[cH1]:n:[cH0]:[cH1]
77,OXAZOLEs5,,,,,0,o:[cH1]:n:[cH1]:[cH0]
78,OXAZOLEs2s4,,,,,0,o:[cH0]:n:[cH0]:[cH1]
79,OXAZOLEs4s5,,,,,0,o:[cH1]:n:[cH0;!R2]:[cH0;!R2]
80,OXAZOLEs2s5,,,,,0,o:[cH0]:n:[cH0]:[cH1]
81,OXAZOLEs2s4s5,,,,,0,o:[cH0]:n:[cH0;!R2]:[cH0;!R2]
82,PYRAZOLE,吡唑,pyrazole,C1=CNN=C1,68,0,[cH1]1:[cH1]:[nH1]:n:[cH1]:1
83,PYRAZOLEs1,,,,,0,[cH1]:[cH1]:[nH0;R1;r5]:n:[cH1]
84,PYRAZOLEs3,,,,,0,[cH1]:[cH1]:[nH1]:n:[cH0;!R2]
85,PYRAZOLEs4,,,,,0,[cH0;!R2]:[cH1]:[nH1]:n:[cH1]
86,PYRAZOLEs5,,,,,0,[cH1]:[cH0;!R2]:[nH1]:n:[cH1]
87,PYRAZOLEs1s3,,,,,0,[cH1]:[cH1]:[nH0;R1;r5]:n:[cH0;!R2]
88,PYRAZOLEs1s4,,,,,0,[cH0;!R2]:[cH1]:[nH0;R1;r5]:n:[cH1]
89,PYRAZOLEs1s5,,,,,0,[cH1]:[cH0;!R2]:[nH0;R1;r5]:n:[cH1]
90,PYRAZOLEs3s4,,,,,0,[cH0;!R2]:[cH1]:[nH1]:n:[cH0;!R2]
