,,,index,comp1,comp2,P,a,a12,b12,a21,b21,comp1_antoine1,comp1_antoine2,comp1_antoine5,comp1_antoine6,comp1_antoine7,comp2_antoine1,comp2_antoine2,comp2_antoine5,comp2_antoine6,comp2_antoine7
ethanol,toluene,1,32,ethanol,toluene,101300,0.3,1.1459,-113.4658,-1.7221,992.7367,61.79107454,-7122.3,-7.1424,2.89E-06,2,65.43207454,-6729.8,-8.179,5.30E-06,2
ethanol,acetone,0,33,ethanol,acetone,101300,0.3,-1.0787,479.05,-0.3471,206.5973,61.79107454,-7122.3,-7.1424,2.89E-06,2,46.43407454,-5355.3,-5.2106,1.24E-14,5
ethanol,ethyl-formate,1,34,ethanol,ethyl-formate,101300,0.3,0,146.637,0,289.6511,61.79107454,-7122.3,-7.1424,2.89E-06,2,62.32007454,-5817,-7.809,6.32E-06,2
ethanol,methyl-acetate,0,35,ethanol,methyl-acetate,101300,0.3,0,198.9705,0,134.162,61.79107454,-7122.3,-7.1424,2.89E-06,2,49.75407454,-5618.6,-5.6473,2.11E-17,6
ethanol,ethyl-acetate,1,36,ethanol,ethyl-acetate,101300,0.3,-1.1512,524.4238,-0.2431,282.9558,61.79107454,-7122.3,-7.1424,2.89E-06,2,55.31107454,-6227.6,-6.41,1.79E-17,6
ethanol,ethylene-glycol,0,37,ethanol,ethylene-glycol,101300,0.47,14.8422,-4664.4058,-0.1115,157.5937,61.79107454,-7122.3,-7.1424,2.89E-06,2,80.08107454,-10811,-9.2821,3.02E-18,6
ethanol,12-propanediol,0,38,ethanol,12-propanediol,101300,0.3,-1.883,664.6087,-0.6378,452.4683,61.79107454,-7122.3,-7.1424,2.89E-06,2,123.9770745,-12483,-16.019,6.46E-06,2
1-propanol,isopropanol,0,39,1-propanol,isopropanol,101300,0.3,0,556.3042,0,-369.9008,73.15107454,-8307.2,-8.5767,7.51E-18,6,99.20707454,-9040,-12.676,5.54E-06,2
1-propanol,n-butanol,0,40,1-propanol,n-butanol,101300,0.3,0,112.9459,0,-88.3177,73.15107454,-8307.2,-8.5767,7.51E-18,6,94.77707454,-9866.4,-11.655,1.08E-17,6
1-propanol,isobutanol,0,41,1-propanol,isobutanol,101300,0.3,-0.9906,110.2754,0.7245,69.2322,73.15107454,-8307.2,-8.5767,7.51E-18,6,110.2670745,-10504,-13.921,1.69E-17,6
1-propanol,tert-butanol,0,42,1-propanol,tert-butanol,101300,0.3,0,-203.7897,0,175.5976,73.15107454,-8307.2,-8.5767,7.51E-18,6,160.7570745,-11589,-22.113,1.37E-05,2
