,,,index,comp1,comp2,P,a,a12,b12,a21,b21,comp1_antoine1,comp1_antoine2,comp1_antoine5,comp1_antoine6,comp1_antoine7,comp2_antoine1,comp2_antoine2,comp2_antoine5,comp2_antoine6,comp2_antoine7
toluene,phenol,0,129,toluene,phenol,101300,0.3,-13.2485,5101.8159,14.7371,-4747.8159,65.43207454,-6729.8,-8.179,5.30E-06,2,83.93107454,-10113,-10.09,6.76E-18,6
acetone,phenol,0,130,acetone,phenol,101300,0.3,1.5282,-1087.9418,1.7108,-755.1837,46.43407454,-5355.3,-5.2106,1.24E-14,5,83.93107454,-10113,-10.09,6.76E-18,6
ethylene-glycol,phenol,0,131,ethylene-glycol,phenol,101300,0.3,0,-422.6081,0,639.799,80.08107454,-10811,-9.2821,3.02E-18,6,83.93107454,-10113,-10.09,6.76E-18,6
methanol,n-butyl-acetate,0,132,methanol,n-butyl-acetate,101300,0.3,0,140.9758,0,234.4986,71.20507454,-6904.5,-8.8622,7.47E-06,2,111.3070745,-9253.2,-14.99,1.05E-05,2
ethanol,n-butyl-acetate,0,133,ethanol,n-butyl-acetate,101300,0.3,0,492.9366,0,-146.2756,61.79107454,-7122.3,-7.1424,2.89E-06,2,111.3070745,-9253.2,-14.99,1.05E-05,2
1-propanol,n-butyl-acetate,1,134,1-propanol,n-butyl-acetate,101300,0.3,0,438.8593,0,-47.1835,73.15107454,-8307.2,-8.5767,7.51E-18,6,111.3070745,-9253.2,-14.99,1.05E-05,2
isopropanol,n-butyl-acetate,0,135,isopropanol,n-butyl-acetate,101300,0.3,-2.4066,1059.1238,1.654,-543.5252,99.20707454,-9040,-12.676,5.54E-06,2,111.3070745,-9253.2,-14.99,1.05E-05,2
n-butanol,n-butyl-acetate,1,136,n-butanol,n-butyl-acetate,101300,0.3,1.7609,-429.6393,-3.0296,1122.1385,94.77707454,-9866.4,-11.655,1.08E-17,6,111.3070745,-9253.2,-14.99,1.05E-05,2
1-pentanol,n-butyl-acetate,1,137,1-pentanol,n-butyl-acetate,101300,0.3,0,314.0508,0,-79.9883,103.2370745,-10643,-12.858,1.25E-17,6,111.3070745,-9253.2,-14.99,1.05E-05,2
benzene,n-butyl-acetate,0,138,benzene,n-butyl-acetate,101300,0.3,0,-72.2828,0,37.2005,71.59407454,-6486.2,-9.2194,6.98E-06,2,111.3070745,-9253.2,-14.99,1.05E-05,2
toluene,n-butyl-acetate,0,139,toluene,n-butyl-acetate,101300,0.3,0,-480.7298,0,917.5654,65.43207454,-6729.8,-8.179,5.30E-06,2,111.3070745,-9253.2,-14.99,1.05E-05,2
acetone,n-butyl-acetate,0,140,acetone,n-butyl-acetate,101300,0.3,0,99.2654,0,-12.9082,46.43407454,-5355.3,-5.2106,1.24E-14,5,111.3070745,-9253.2,-14.99,1.05E-05,2
methyl-acetate,n-butyl-acetate,0,141,methyl-acetate,n-butyl-acetate,101300,0.3,-10.0572,3508.991,7.7169,-2651.094,49.75407454,-5618.6,-5.6473,2.11E-17,6,111.3070745,-9253.2,-14.99,1.05E-05,2
ethyl-acetate,n-butyl-acetate,0,142,ethyl-acetate,n-butyl-acetate,101300,0.3,0,18.3687,0,2.8973,55.31107454,-6227.6,-6.41,1.79E-17,6,111.3070745,-9253.2,-14.99,1.05E-05,2
cyclohexane,n-butyl-acetate,0,143,cyclohexane,n-butyl-acetate,101300,0.3,0,381.4791,0,-146.219,39.57407454,-5226.4,-4.2278,9.76E-18,6,111.3070745,-9253.2,-14.99,1.05E-05,2
phenol,n-butyl-acetate,0,144,phenol,n-butyl-acetate,101300,0.3,1.9532,-873.9974,0.0854,-302.8023,83.93107454,-10113,-10.09,6.76E-18,6,111.3070745,-9253.2,-14.99,1.05E-05,2
ethanol,isopropyl-acetate,1,145,ethanol,isopropyl-acetate,101300,0.3,0,233.1795,0,45.6599,61.79107454,-7122.3,-7.1424,2.89E-06,2,38.24107454,-5563.9,-3.8789,2.48E-18,6
isopropanol,isopropyl-acetate,1,146,isopropanol,isopropyl-acetate,101300,0.3,0,110.5442,0,100.1164,99.20707454,-9040,-12.676,5.54E-06,2,38.24107454,-5563.9,-3.8789,2.48E-18,6
ethyl-acetate,isopropyl-acetate,0,147,ethyl-acetate,isopropyl-acetate,101300,0.3,0,-183.7952,0,221.8949,55.31107454,-6227.6,-6.41,1.79E-17,6,38.24107454,-5563.9,-3.8789,2.48E-18,6
ethanol,n-propyl-acetate,1,148,ethanol,n-propyl-acetate,101300,0.3,0,275.6292,0,86.6036,61.79107454,-7122.3,-7.1424,2.89E-06,2,103.6470745,-8433.9,-13.934,1.03E-05,2
1-propanol,n-propyl-acetate,1,149,1-propanol,n-propyl-acetate,101300,0.3,0,291.6502,0,-49.0932,73.15107454,-8307.2,-8.5767,7.51E-18,6,103.6470745,-8433.9,-13.934,1.03E-05,2
n-butanol,n-propyl-acetate,0,150,n-butanol,n-propyl-acetate,101300,0.3,0,52.7601,0,122.0381,94.77707454,-9866.4,-11.655,1.08E-17,6,103.6470745,-8433.9,-13.934,1.03E-05,2
2-butanol,n-propyl-acetate,1,151,2-butanol,n-propyl-acetate,101300,0.3,0,-121.4609,0,482.3904,111.0370745,-10236,-14.125,2.36E-17,6,103.6470745,-8433.9,-13.934,1.03E-05,2
benzene,n-propyl-acetate,0,152,benzene,n-propyl-acetate,101300,0.3,0,-105.2048,0,97.4279,71.59407454,-6486.2,-9.2194,6.98E-06,2,103.6470745,-8433.9,-13.934,1.03E-05,2
acetone,n-propyl-acetate,0,153,acetone,n-propyl-acetate,101300,0.3,0,36.1912,0,34.408,46.43407454,-5355.3,-5.2106,1.24E-14,5,103.6470745,-8433.9,-13.934,1.03E-05,2
methyl-acetate,n-propyl-acetate,0,154,methyl-acetate,n-propyl-acetate,101300,0.3,0,532.8099,0,-266.5961,49.75407454,-5618.6,-5.6473,2.11E-17,6,103.6470745,-8433.9,-13.934,1.03E-05,2
ethanol,23-butanediol,0,155,water,23-butanediol,101300,0.3,-0.0755,938.6387,-0.0533,-325.453,62.13607454,-7258.2,-7.3037,4.17E-06,2,100.7370745,-11021,-12.792,8.86E-06,2
benzene,diethyl-carbonate,0,156,ethanol,23-butanediol,101300,0.3,98.9886,2426.4844,3.8118,-1417.2078,61.79107454,-7122.3,-7.1424,2.89E-06,2,100.7370745,-11021,-12.792,8.86E-06,2
cyclohexane,diethyl-carbonate,0,157,benzene,diethyl-carbonate,101300,0.3,0,-210.0956,0,272.4548,71.59407454,-6486.2,-9.2194,6.98E-06,2,197.6370745,-12732,-28.31,2.39E-05,2
ethanol,n-pentyl-acetate,0,158,cyclohexane,diethyl-carbonate,101300,0.3,0,252.7213,0,134.1315,39.57407454,-5226.4,-4.2278,9.76E-18,6,197.6370745,-12732,-28.31,2.39E-05,2
toluene,n-pentyl-acetate,0,159,ethanol,n-pentyl-acetate,101300,0.3,0,438.1832,0,-54.6969,61.79107454,-7122.3,-7.1424,2.89E-06,2,126.4470745,-10354,-17.182,1.12E-05,2
methyl-acetate,n-pentyl-acetate,0,160,toluene,n-pentyl-acetate,101300,0.3,0,-26.7341,0,-13.8586,65.43207454,-6729.8,-8.179,5.30E-06,2,126.4470745,-10354,-17.182,1.12E-05,2
ethyl-acetate,n-pentyl-acetate,0,161,methyl-acetate,n-pentyl-acetate,101300,0.3,0,630.256,0,-334.9117,49.75407454,-5618.6,-5.6473,2.11E-17,6,126.4470745,-10354,-17.182,1.12E-05,2
ethanol,isopentyl-acetate,0,162,ethyl-acetate,n-pentyl-acetate,101300,0.3,-7.9997,2519.3123,9.0973,-2635.9795,55.31107454,-6227.6,-6.41,1.79E-17,6,126.4470745,-10354,-17.182,1.12E-05,2
n-butanol,isopentyl-acetate,0,163,ethanol,isopentyl-acetate,101300,0.3,-11.2357,3991.439,13.7284,-4522.4014,61.79107454,-7122.3,-7.1424,2.89E-06,2,88.04507454,-8876.8,-11.075,2.47E-17,6
1-pentanol,isopentyl-acetate,1,164,n-butanol,isopentyl-acetate,101300,0.3,0,258.9843,0,-26.7925,94.77707454,-9866.4,-11.655,1.08E-17,6,88.04507454,-8876.8,-11.075,2.47E-17,6
n-butyl-acetate,isopentyl-acetate,0,165,1-pentanol,isopentyl-acetate,101300,0.3,0,205.514,0,114.0758,103.2370745,-10643,-12.858,1.25E-17,6,88.04507454,-8876.8,-11.075,2.47E-17,6
methanol,3-methyl-1-butanol,0,166,n-butyl-acetate,isopentyl-acetate,101300,0.3,0,-510.4561,0,1015.6901,111.3070745,-9253.2,-14.99,1.05E-05,2,88.04507454,-8876.8,-11.075,2.47E-17,6
ethanol,3-methyl-1-butanol,0,167,methanol,3-methyl-1-butanol,101300,0.3,0,402.0258,0,-205.5684,71.20507454,-6904.5,-8.8622,7.47E-06,2,105.5570745,-10743,-13.165,1.17E-17,6
1-propanol,3-methyl-1-butanol,0,168,ethanol,3-methyl-1-butanol,101300,0.3,-3.3695,1362.5219,1.352,-575.8175,61.79107454,-7122.3,-7.1424,2.89E-06,2,105.5570745,-10743,-13.165,1.17E-17,6
n-butanol,3-methyl-1-butanol,0,169,1-propanol,3-methyl-1-butanol,101300,0.3,-3.8297,1563.9319,2.8169,-1161.4395,73.15107454,-8307.2,-8.5767,7.51E-18,6,105.5570745,-10743,-13.165,1.17E-17,6
isobutanol,3-methyl-1-butanol,0,170,n-butanol,3-methyl-1-butanol,101300,0.3,0,347.2592,0,-263.3713,94.77707454,-9866.4,-11.655,1.08E-17,6,105.5570745,-10743,-13.165,1.17E-17,6
1-pentanol,3-methyl-1-butanol,0,171,isobutanol,3-methyl-1-butanol,101300,0.3,0,497.9407,0,-323.1811,110.2670745,-10504,-13.921,1.69E-17,6,105.5570745,-10743,-13.165,1.17E-17,6
toluene,3-methyl-1-butanol,1,172,1-pentanol,3-methyl-1-butanol,101300,0.3,0,521.2077,0,-345.0694,103.2370745,-10643,-12.858,1.25E-17,6,105.5570745,-10743,-13.165,1.17E-17,6
ethylene-glycol,3-methyl-1-butanol,1,173,toluene,3-methyl-1-butanol,101300,0.3,0,349.077,0,64.5472,65.43207454,-6729.8,-8.179,5.30E-06,2,105.5570745,-10743,-13.165,1.17E-17,6
n-butanol,2-methyl-2-butanol,0,174,ethylene-glycol,3-methyl-1-butanol,101300,0.3,14.1483,-4524.1895,-12.8714,4695.6265,80.08107454,-10811,-9.2821,3.02E-18,6,105.5570745,-10743,-13.165,1.17E-17,6
1-pentanol,2-methyl-2-butanol,0,175,n-butanol,2-methyl-2-butanol,101300,0.3,0,683.4227,0,-418.198,94.77707454,-9866.4,-11.655,1.08E-17,6,104.2670745,-9860.1,-13.162,1.47E-17,6
benzene,2-methyl-2-butanol,1,176,1-pentanol,2-methyl-2-butanol,101300,0.3,0,698.0805,0,-353.6714,103.2370745,-10643,-12.858,1.25E-17,6,104.2670745,-9860.1,-13.162,1.47E-17,6
n-butyl-acetate,2-methyl-2-butanol,0,177,benzene,2-methyl-2-butanol,101300,0.3,0,426.1677,0,-102.8312,71.59407454,-6486.2,-9.2194,6.98E-06,2,104.2670745,-9860.1,-13.162,1.47E-17,6
cyclohexane,2-methyl-2-butanol,1,178,n-butyl-acetate,2-methyl-2-butanol,101300,0.3,0,670.2388,0,-242.4536,111.3070745,-9253.2,-14.99,1.05E-05,2,104.2670745,-9860.1,-13.162,1.47E-17,6
3-methyl-1-butanol,2-methyl-2-butanol,0,179,cyclohexane,2-methyl-2-butanol,101300,0.3,-1.4906,1120.1431,-0.4692,72.6738,39.57407454,-5226.4,-4.2278,9.76E-18,6,104.2670745,-9860.1,-13.162,1.47E-17,6
methanol,1-hexanol,0,180,3-methyl-1-butanol,2-methyl-2-butanol,101300,0.3,0,255.4232,0,-257.8848,105.5570745,-10743,-13.165,1.17E-17,6,104.2670745,-9860.1,-13.162,1.47E-17,6
ethanol,1-hexanol,0,181,methanol,1-hexanol,101300,0.3,2.3042,-279.5868,-0.3152,-230.9807,71.20507454,-6904.5,-8.8622,7.47E-06,2,123.9070745,-12288,-15.732,1.27E-17,6
1-propanol,1-hexanol,0,182,ethanol,1-hexanol,101300,0.3,-0.0677,60.464,0.2856,-123.4329,61.79107454,-7122.3,-7.1424,2.89E-06,2,123.9070745,-12288,-15.732,1.27E-17,6
isopropanol,1-hexanol,0,183,1-propanol,1-hexanol,101300,0.3,0.1022,-25.2541,-0.6716,227.4444,73.15107454,-8307.2,-8.5767,7.51E-18,6,123.9070745,-12288,-15.732,1.27E-17,6
n-butanol,1-hexanol,0,184,isopropanol,1-hexanol,101300,0.3,0,-68.5269,0,31.7338,99.20707454,-9040,-12.676,5.54E-06,2,123.9070745,-12288,-15.732,1.27E-17,6
isobutanol,1-hexanol,0,185,n-butanol,1-hexanol,101300,0.3,0,-227.1565,0,285.4977,94.77707454,-9866.4,-11.655,1.08E-17,6,123.9070745,-12288,-15.732,1.27E-17,6
1-pentanol,1-hexanol,0,186,isobutanol,1-hexanol,101300,0.3,0,110.1599,0,-117.9697,110.2670745,-10504,-13.921,1.69E-17,6,123.9070745,-12288,-15.732,1.27E-17,6
benzene,1-hexanol,0,187,1-pentanol,1-hexanol,101300,0.3,1.0412,-524.6616,0.9749,-210.0534,103.2370745,-10643,-12.858,1.25E-17,6,123.9070745,-12288,-15.732,1.27E-17,6
cyclohexane,1-hexanol,0,188,benzene,1-hexanol,101300,0.3,0,312.7975,0,188.5548,71.59407454,-6486.2,-9.2194,6.98E-06,2,123.9070745,-12288,-15.732,1.27E-17,6
ethylene-glycol,1-hexanol,0,189,cyclohexane,1-hexanol,101300,0.3,-3.7121,1890.2935,0.798,-306.3462,39.57407454,-5226.4,-4.2278,9.76E-18,6,123.9070745,-12288,-15.732,1.27E-17,6
methanol,methyl-n-propyl-ketone,0,190,ethylene-glycol,1-hexanol,101300,0.3,0.9699,345.3236,-0.3498,160.0539,80.08107454,-10811,-9.2821,3.02E-18,6,123.9070745,-12288,-15.732,1.27E-17,6
ethanol,methyl-n-propyl-ketone,1,191,methanol,methyl-n-propyl-ketone,101300,0.3,0,-45.2357,0,576.6953,71.20507454,-6904.5,-8.8622,7.47E-06,2,79.74607454,-7515.7,-10.148,8.42E-09,3
isopropanol,methyl-n-propyl-ketone,0,192,ethanol,methyl-n-propyl-ketone,101300,0.3,0,-77.6968,0,599.2735,61.79107454,-7122.3,-7.1424,2.89E-06,2,79.74607454,-7515.7,-10.148,8.42E-09,3
benzene,methyl-n-propyl-ketone,0,193,isopropanol,methyl-n-propyl-ketone,101300,0.3,0,264.7598,0,-71.8054,99.20707454,-9040,-12.676,5.54E-06,2,79.74607454,-7515.7,-10.148,8.42E-09,3
toluene,methyl-n-propyl-ketone,0,194,benzene,methyl-n-propyl-ketone,101300,0.3,0,341.1023,0,-239.6873,71.59407454,-6486.2,-9.2194,6.98E-06,2,79.74607454,-7515.7,-10.148,8.42E-09,3
methanol,diethyl-ketone,0,195,toluene,methyl-n-propyl-ketone,101300,0.3,0,334.9231,0,-218.1937,65.43207454,-6729.8,-8.179,5.30E-06,2,79.74607454,-7515.7,-10.148,8.42E-09,3
ethanol,diethyl-ketone,1,196,methanol,diethyl-ketone,101300,0.3,25.2452,-7338.0552,25.1517,-9106.2607,71.20507454,-6904.5,-8.8622,7.47E-06,2,32.77307454,-5415.1,-3.0913,1.86E-18,6
n-butanol,diethyl-ketone,0,197,ethanol,diethyl-ketone,101300,0.3,0,195.1183,0,124.3786,61.79107454,-7122.3,-7.1424,2.89E-06,2,32.77307454,-5415.1,-3.0913,1.86E-18,6
tert-butanol,diethyl-ketone,0,198,n-butanol,diethyl-ketone,101300,0.3,0,-43.7141,0,236.0962,94.77707454,-9866.4,-11.655,1.08E-17,6,32.77307454,-5415.1,-3.0913,1.86E-18,6
acetone,diethyl-ketone,0,199,tert-butanol,diethyl-ketone,101300,0.3,0,380.5485,0,-177.3627,160.7570745,-11589,-22.113,1.37E-05,2,32.77307454,-5415.1,-3.0913,1.86E-18,6
methyl-acetate,diethyl-ketone,0,200,acetone,diethyl-ketone,101300,0.3,0,-222.5506,0,276.5292,46.43407454,-5355.3,-5.2106,1.24E-14,5,32.77307454,-5415.1,-3.0913,1.86E-18,6
ethyl-acetate,diethyl-ketone,0,201,methyl-acetate,diethyl-ketone,101300,0.3,0,108.4294,0,11.2298,49.75407454,-5618.6,-5.6473,2.11E-17,6,32.77307454,-5415.1,-3.0913,1.86E-18,6
cyclohexane,diethyl-ketone,1,202,ethyl-acetate,diethyl-ketone,101300,0.3,0,52.3523,0,-42.3064,55.31107454,-6227.6,-6.41,1.79E-17,6,32.77307454,-5415.1,-3.0913,1.86E-18,6
methanol,methyl-ethyl-ketone,1,203,cyclohexane,diethyl-ketone,101300,0.3,0,162.1698,0,187.6757,39.57407454,-5226.4,-4.2278,9.76E-18,6,32.77307454,-5415.1,-3.0913,1.86E-18,6
ethanol,methyl-ethyl-ketone,1,204,methanol,methyl-ethyl-ketone,101300,0.3,0,175.3467,0,89.4658,71.20507454,-6904.5,-8.8622,7.47E-06,2,73.01707454,-6787.2,-9.2336,9.09E-09,3
1-propanol,methyl-ethyl-ketone,0,205,ethanol,methyl-ethyl-ketone,101300,0.3,-1.5609,654.555,0.7593,-132.9897,61.79107454,-7122.3,-7.1424,2.89E-06,2,73.01707454,-6787.2,-9.2336,9.09E-09,3
isopropanol,methyl-ethyl-ketone,1,206,1-propanol,methyl-ethyl-ketone,101300,0.3,0,272.8955,0,-53.2457,73.15107454,-8307.2,-8.5767,7.51E-18,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
n-butanol,methyl-ethyl-ketone,0,207,isopropanol,methyl-ethyl-ketone,101300,0.3,0,11.2089,0,212.173,99.20707454,-9040,-12.676,5.54E-06,2,73.01707454,-6787.2,-9.2336,9.09E-09,3
2-butanol,methyl-ethyl-ketone,0,208,n-butanol,methyl-ethyl-ketone,101300,0.3,0,241.9607,0,-63.5725,94.77707454,-9866.4,-11.655,1.08E-17,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
tert-butanol,methyl-ethyl-ketone,1,209,2-butanol,methyl-ethyl-ketone,101300,0.3,0,93.6622,0,16.3469,111.0370745,-10236,-14.125,2.36E-17,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
1-pentanol,methyl-ethyl-ketone,0,210,tert-butanol,methyl-ethyl-ketone,101300,0.3,-3.8956,1321.7769,3.0218,-907.0849,160.7570745,-11589,-22.113,1.37E-05,2,73.01707454,-6787.2,-9.2336,9.09E-09,3
3-methyl-1-butanol,methyl-ethyl-ketone,0,211,1-pentanol,methyl-ethyl-ketone,101300,0.3,0,525.245,0,-119.9962,103.2370745,-10643,-12.858,1.25E-17,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
benzene,methyl-ethyl-ketone,1,212,3-methyl-1-butanol,methyl-ethyl-ketone,101300,0.47,18.1055,-6963.5122,5.7797,-1824.0311,105.5570745,-10743,-13.165,1.17E-17,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
toluene,methyl-ethyl-ketone,0,213,benzene,methyl-ethyl-ketone,101300,0.47,0,200.3901,0,-100.9075,71.59407454,-6486.2,-9.2194,6.98E-06,2,73.01707454,-6787.2,-9.2336,9.09E-09,3
acetone,methyl-ethyl-ketone,0,214,toluene,methyl-ethyl-ketone,101300,0.3,-2.7474,1185.2593,2.0126,-804.301,65.43207454,-6729.8,-8.179,5.30E-06,2,73.01707454,-6787.2,-9.2336,9.09E-09,3
ethyl-formate,methyl-ethyl-ketone,0,215,acetone,methyl-ethyl-ketone,101300,0.3,-8.0985,2364.9343,5.1025,-1083.4957,46.43407454,-5355.3,-5.2106,1.24E-14,5,73.01707454,-6787.2,-9.2336,9.09E-09,3
methyl-acetate,methyl-ethyl-ketone,0,216,ethyl-formate,methyl-ethyl-ketone,101300,0.3,0,395.5685,0,-277.1367,62.32007454,-5817,-7.809,6.32E-06,2,73.01707454,-6787.2,-9.2336,9.09E-09,3
ethyl-acetate,methyl-ethyl-ketone,1,217,methyl-acetate,methyl-ethyl-ketone,101300,0.3,0,-10.435,0,26.7196,49.75407454,-5618.6,-5.6473,2.11E-17,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
cyclohexane,methyl-ethyl-ketone,1,218,ethyl-acetate,methyl-ethyl-ketone,101300,0.3,0,173.945,0,-105.5695,55.31107454,-6227.6,-6.41,1.79E-17,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
phenol,methyl-ethyl-ketone,0,219,cyclohexane,methyl-ethyl-ketone,101300,0.3,0,377.5038,0,48.9897,39.57407454,-5226.4,-4.2278,9.76E-18,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
diethyl-ketone,methyl-ethyl-ketone,0,220,phenol,methyl-ethyl-ketone,101300,0.3,2.7728,-1490.665,2.149,-1235.5115,83.93107454,-10113,-10.09,6.76E-18,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
ethanol,cyclohexanol,0,221,diethyl-ketone,methyl-ethyl-ketone,101300,0.3,0,382.06,0,-289.8223,32.77307454,-5415.1,-3.0913,1.86E-18,6,73.01707454,-6787.2,-9.2336,9.09E-09,3
n-butanol,cyclohexanol,0,222,ethanol,cyclohexanol,101300,0.3,-1.8115,975.999,-0.4868,57.5641,61.79107454,-7122.3,-7.1424,2.89E-06,2,177.6770745,-14337,-24.148,1.07E-05,2
acetone,cyclohexanol,0,223,n-butanol,cyclohexanol,101300,0.3,0,674.3061,0,-431.8631,94.77707454,-9866.4,-11.655,1.08E-17,6,177.6770745,-14337,-24.148,1.07E-05,2
ethyl-acetate,cyclohexanol,0,224,acetone,cyclohexanol,101300,0.3,0,180.4328,0,201.4295,46.43407454,-5355.3,-5.2106,1.24E-14,5,177.6770745,-14337,-24.148,1.07E-05,2
n-butyl-acetate,cyclohexanol,0,225,ethyl-acetate,cyclohexanol,101300,0.3,-11.9055,4189.7407,18.2909,-5799.2251,55.31107454,-6227.6,-6.41,1.79E-17,6,177.6770745,-14337,-24.148,1.07E-05,2
cyclohexane,cyclohexanol,0,226,n-butyl-acetate,cyclohexanol,101300,0.3,0,378.4245,0,-191.6711,111.3070745,-9253.2,-14.99,1.05E-05,2,177.6770745,-14337,-24.148,1.07E-05,2
ethylene-glycol,cyclohexanol,0,227,cyclohexane,cyclohexanol,101300,0.3,5.6308,-1082.472,-3.2,987.1168,39.57407454,-5226.4,-4.2278,9.76E-18,6,177.6770745,-14337,-24.148,1.07E-05,2
phenol,cyclohexanol,1,228,ethylene-glycol,cyclohexanol,101300,0.3,0,543.6093,0,2.3983,80.08107454,-10811,-9.2821,3.02E-18,6,177.6770745,-14337,-24.148,1.07E-05,2
2-butanol,sec-butyl-acetate,0,229,phenol,cyclohexanol,101300,0.3,0,-110.4773,0,-356.1531,83.93107454,-10113,-10.09,6.76E-18,6,177.6770745,-14337,-24.148,1.07E-05,2
tert-butanol,tert-butyl-acetate,0,230,2-butanol,sec-butyl-acetate,101300,0.3,0,-59.0701,0,177.2941,111.0370745,-10236,-14.125,2.36E-17,6,41.08807454,-6097.9,-4.2398,2.15E-18,6
ethanol,ethyl-propionate,1,231,tert-butanol,tert-butyl-acetate,101300,0.3,0,196.5854,0,-86.4628,160.7570745,-11589,-22.113,1.37E-05,2,156.5970745,-9756.7,-23.46,0.023062,1
1-propanol,ethyl-propionate,1,232,ethanol,ethyl-propionate,101300,0.3,0,398.0096,0,-16.5922,61.79107454,-7122.3,-7.1424,2.89E-06,2,94.12707454,-8007,-12.477,9.00E-06,2
n-butanol,ethyl-propionate,0,233,1-propanol,ethyl-propionate,101300,0.3,0,123.7425,0,141.4663,73.15107454,-8307.2,-8.5767,7.51E-18,6,94.12707454,-8007,-12.477,9.00E-06,2
methanol,methyl-isobutyl-ketone,0,234,n-butanol,ethyl-propionate,101300,0.3,0,144.1132,0,88.265,94.77707454,-9866.4,-11.655,1.08E-17,6,94.12707454,-8007,-12.477,9.00E-06,2
ethanol,methyl-isobutyl-ketone,0,235,methanol,methyl-isobutyl-ketone,101300,0.3,0,520.4172,0,-81.3518,71.20507454,-6904.5,-8.8622,7.47E-06,2,83.35707454,-7917.5,-10.643,8.07E-09,3
isopropanol,methyl-isobutyl-ketone,0,236,ethanol,methyl-isobutyl-ketone,101300,0.3,0,-75.2843,0,360.9146,61.79107454,-7122.3,-7.1424,2.89E-06,2,83.35707454,-7917.5,-10.643,8.07E-09,3
n-butanol,methyl-isobutyl-ketone,1,237,isopropanol,methyl-isobutyl-ketone,101300,0.3,0,160.6435,0,28.1164,99.20707454,-9040,-12.676,5.54E-06,2,83.35707454,-7917.5,-10.643,8.07E-09,3
1-pentanol,methyl-isobutyl-ketone,1,238,n-butanol,methyl-isobutyl-ketone,101300,0.3,0,244.6096,0,-39.5076,94.77707454,-9866.4,-11.655,1.08E-17,6,83.35707454,-7917.5,-10.643,8.07E-09,3
1-hexanol,methyl-isobutyl-ketone,1,239,1-pentanol,methyl-isobutyl-ketone,101300,0.3,0.1341,-382.826,2.3211,51.5624,103.2370745,-10643,-12.858,1.25E-17,6,83.35707454,-7917.5,-10.643,8.07E-09,3
benzene,methyl-isobutyl-ketone,0,240,1-hexanol,methyl-isobutyl-ketone,101300,0.3,2.0666,-1247.2012,2.2528,401.0231,123.9070745,-12288,-15.732,1.27E-17,6,83.35707454,-7917.5,-10.643,8.07E-09,3
toluene,methyl-isobutyl-ketone,0,241,benzene,methyl-isobutyl-ketone,101300,0.3,0,301.7403,0,-215.4519,71.59407454,-6486.2,-9.2194,6.98E-06,2,83.35707454,-7917.5,-10.643,8.07E-09,3
acetone,methyl-isobutyl-ketone,0,242,toluene,methyl-isobutyl-ketone,101300,0.3,0,137.3856,0,-78.3037,65.43207454,-6729.8,-8.179,5.30E-06,2,83.35707454,-7917.5,-10.643,8.07E-09,3
ethyl-acetate,methyl-isobutyl-ketone,0,243,acetone,methyl-isobutyl-ketone,101300,0.3,-5.4452,1833.5227,5.3013,-1735.9082,46.43407454,-5355.3,-5.2106,1.24E-14,5,83.35707454,-7917.5,-10.643,8.07E-09,3
cyclohexane,methyl-isobutyl-ketone,0,244,ethyl-acetate,methyl-isobutyl-ketone,101300,0.3,0,847.2325,0,-408.1936,55.31107454,-6227.6,-6.41,1.79E-17,6,83.35707454,-7917.5,-10.643,8.07E-09,3
methyl-ethyl-ketone,methyl-isobutyl-ketone,0,245,cyclohexane,methyl-isobutyl-ketone,101300,0.3,0,498.2429,0,-154.2789,39.57407454,-5226.4,-4.2278,9.76E-18,6,83.35707454,-7917.5,-10.643,8.07E-09,3
diethyl-ketone,methyl-isobutyl-ketone,0,246,methyl-ethyl-ketone,methyl-isobutyl-ketone,101300,0.3,0,22.0221,0,-24.3328,73.01707454,-6787.2,-9.2336,9.09E-09,3,83.35707454,-7917.5,-10.643,8.07E-09,3
methanol,methyl-formate,0,247,diethyl-ketone,methyl-isobutyl-ketone,101300,0.3,0,-29.304,0,27.7911,32.77307454,-5415.1,-3.0913,1.86E-18,6,83.35707454,-7917.5,-10.643,8.07E-09,3
ethanol,methyl-formate,0,248,methanol,methyl-formate,101300,0.3,0,199.0137,0,217.046,71.20507454,-6904.5,-8.8622,7.47E-06,2,65.67107454,-5606.1,-8.392,7.85E-06,2
acetone,methyl-formate,0,249,ethanol,methyl-formate,101300,0.3,0,178.0353,0,304.8495,61.79107454,-7122.3,-7.1424,2.89E-06,2,65.67107454,-5606.1,-8.392,7.85E-06,2
1-propanol,n-propyl-formate,1,250,acetone,methyl-formate,101300,0.3,0,-264.9058,0,358.5055,46.43407454,-5355.3,-5.2106,1.24E-14,5,65.67107454,-5606.1,-8.392,7.85E-06,2
isobutanol,n-butyl-formate,1,251,1-propanol,n-propyl-formate,101300,0.3,0,59.5237,0,348.4793,73.15107454,-8307.2,-8.5767,7.51E-18,6,92.56707454,-7535.9,-12.348,9.60E-06,2
