index,Ring Structure,ÖÐÎÄÃû³Æ,name,smiles,MW,Priority,SMARTs
40,ISOQUINOLINERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:[c;!R2;r6]:n:[c;!R2;r6]:[c;!R2;r6]:c:2:[c;!R2;r6]:1
41,NAPHTHALENE,ÝÁ,naphthalene,C1=CC=C2C=CC=CC2=C1,128,0,[cH1]1:[cH1]:[cH1]:c2:[cH1]:[cH1]:[cH1]:[cH1]:c:2:[cH1]:1
42,NAPHTHALENERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:c:2:[c;!R2;r6]:1
43,ANTHRACENE,Ýì,anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1,178,0,[cH1]1:[cH1]:[cH1]:c2:[cH1]:c3:[cH1]:[cH1]:[cH1]:[cH1]:c:3:[cH1]:c:2:[cH1]:1
44,ANTHRACENERING,,,,,1,[c;!R2;r6]1:[c;!R2;r6]:[c;!R2;r6]:c2:[c;!R2;r6]:c3:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:[c;!R2;r6]:c:3:[c;!R2;r6]:c:2:[c;!R2;r6]:1
45,CYLCOHEXANE,»·¼ºÍé,cyclohexane,C1CCCCC1,84,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1
46,CYLCOHEXANERING,,,,,1,[C;!R2;r6]1-[C;!R2;r6]-[C;!R2;r6]-[C;!R2;r6]-[C;!R2;r6]-[C;!R2;r6]-1
47,CYCLOPENTANE,»·ÎìÍé,cyclopentane,C1CCCC1,70,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-1
48,CYCLOPENTANERING,,,,,1,[C;!R2;r5]1-[C;!R2;r5]-[C;!R2;r5]-[C;!R2;r5]-[C;!R2;r5]-1
49,CYCLOBUTANE,»·¶¡Íé,cyclobutane,C1CCC1,56,0,[CH2]1-[CH2]-[CH2]-[CH2]-1
50,CYCLOBUTANERING,,,,,1,[C;!R2;r4]1-[C;!R2;r4]-[C;!R2;r4]-[C;!R2;r4]-1
51,CYCLOPROPANE,»·±ûÍé,cyclopropane,C1CC1,42,0,[CH2]1-[CH2]-[CH2]-1
52,CYCLOPROPANERING,,,,,1,[C;!R2;r3]1-[C;!R2;r3]-[C;!R2;r3]-1
53,CYCLOHEPTANE,»·¸ýÍé,cycloheptane,C1CCCCCC1,98,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1
54,CYLCOHEPTANERING,,,,,1,[C;!R2;r7]1-[C;!R2;r7]-[C;!R2;r7]-[C;!R2;r7]-[C;!R2;r7]-[C;!R2;r7]-[C;!R2;r7]-1
55,CYCLOOCTANE,»·ÐÁÍé,cyclooctane,C1CCCCCCC1,112,0,[CH2]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1
56,CYCLOOCTANERING,,,,,1,[C;!R2;r8]1-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-[C;!R2;r8]-1
